Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,MP
Opponent Total,,,27.7,20.0,220,1800.0,20.0,24.0,14.0,38.0,22.0,2.0,4.0,45.0,3.0,,,,1.2,0.7,1.9,1.1,1.8,,
Zlatan Alomerović,de GER,GK,31-246,20.0,20,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Jesús Imaz,es ESP,"FW,MF",32-143,19.0,18,1580.0,17.6,9.0,3.0,12.0,9.0,0.0,0.0,4.0,0.0,,,,0.51,0.17,0.68,0.51,0.68,Matches,
Tomáš Přikryl,cz CZE,"MF,DF",30-227,17.0,17,1430.0,15.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,,,,0.06,0.06,0.13,0.06,0.13,Matches,
Bojan Nastić,ba BIH,DF,28-225,17.0,15,1370.0,15.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.07,0.07,0.0,0.07,Matches,
Bogdan Țîru,ro ROU,DF,28-338,15.0,15,1336.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Marc Gual,es ESP,"FW,MF",26-340,18.0,15,1289.0,14.3,8.0,3.0,11.0,6.0,2.0,2.0,4.0,0.0,,,,0.56,0.21,0.77,0.42,0.63,Matches,
Rui Filipe Cunha Correia,pt POR,MF,27-251,18.0,14,1328.0,14.8,2.0,2.0,4.0,2.0,0.0,0.0,8.0,1.0,,,,0.14,0.14,0.27,0.14,0.27,Matches,
Israel Puerto,es ESP,DF,29-246,16.0,13,1138.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Mateusz Skrzypczak,pl POL,DF,22-178,14.0,13,1047.0,11.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,,,,0.09,0.0,0.09,0.09,0.09,Matches,
Taras Romanchuk,pl POL,MF,31-094,13.0,12,1017.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Martin Pospíšil,cz CZE,MF,31-235,16.0,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Fiodor Černych,lt LTU,"FW,MF",31-271,16.0,9,768.0,8.5,1.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,,,,0.12,0.23,0.35,0.0,0.23,Matches,
Jakub Lewicki,pl POL,"DF,MF",17-152,11.0,9,752.0,8.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,0.12,0.12,0.24,0.12,0.24,Matches,
Bartosz Bida,pl POL,"FW,MF",21-360,12.0,8,535.0,5.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.17,0.17,0.0,0.17,Matches,
Bartłomiej Wdowik,pl POL,MF,22-144,12.0,7,772.0,8.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.12,0.12,0.0,0.12,Matches,
Michał Pazdan,pl POL,DF,35-148,5.0,5,378.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Miłosz Matysik,pl POL,"DF,MF",18-296,8.0,4,479.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Tomasz Kupisz,pl POL,MF,33-045,5.0,3,337.0,3.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,,,,0.27,0.27,0.53,0.27,0.53,Matches,
Oliwier Wojciechowski,pl POL,MF,17-317,7.0,3,304.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.3,0.3,0.0,0.3,Matches,
